AGE_REF,FAM_SIZE,REF_RACE,REGION,SEX_REF,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRUT,PROCVEG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV
82,2,1,1,2,206.81,61.68,0,11.92,0,0,12.43,0,0,0,0,6.38,6.09,11.63,5.28,2.29,0,4.87,0,0.79,145.13,73.97
82,2,1,1,2,82.93,82.93,1.99,12.62,3.2,0,8.67,5.85,7.66,1.99,3.88,8.49,8.39,8.16,1.99,0,0,0,0.79,9.25,0,48.72
64,2,1,3,2,134.03,88.07,2.35,7.67,11.49,4.86,0,4.87,3.08,1.99,4.2,9.71,1.2,6,0,4.6,0,0,0,26.05,45.96,0
64,2,1,3,2,240.99,124,8.92,21.25,9.3,0,0,0,2.83,0,7.46,17.35,0.76,6.32,7.68661,9.48339,2.32,0,7.07,23.25,116.99,0
87,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3,1,3,2,85.1,43.66,0,4.36,0,0,2.48,0,0,0,0,4.48,5.51,2.5,0,0,0,2.95,0,21.38,41.44,0
44,4,2,1,2,157.2,157.2,4.2,6.98,0,5.13,15.88,0,0,2.5,0,33.34,0,0,3.99,4.74,7.77,26.91,0,45.76,0,0
44,4,2,1,2,58.98,35.85,0,0,0,7,0,0,0,0,0,0,2.99,0,0,8.16,0,3,1.88,12.82,23.13,0
58,2,1,3,2,69.1,63.85,0,16.47,0,0,0,0,0,3.09,0,17.46,10.78,4.29,0,0,0,11.76,0,0,5.25,0
65,2,1,1,1,33.75,9.3,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0,5.41,0,0,24.45,42.48
65,2,1,1,1,143.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.79,67.69
87,2,1,3,2,38.41,33.41,2.52,1.36,0,0,0,0,0,0,3.53,0,8.08,0,9.48,0,0,1.1,0,7.34,5,0
87,2,1,3,2,61.11,54.41,0,0,0,8.46,0,0,8.44,2.92,3.46,0,0,3.17,4.12,0.95,0,2.57,2.19,18.13,6.7,0
57,3,4,4,1,66.77,38.27,0,0,0,0,0,0,0,0,0,3.3,3.96,20.08,0,0,0,10.93,0,0,28.5,0
57,3,4,4,1,73.83,73.83,8.97,1.48,0,6.68,0,7.28,14.46,0,2.49,0,10.37,0,5,0,0,10.93,0,6.17,0,0
33,4,1,4,2,227.11,91.12,3.69,0,0,0,15.31,0,0,0,0,45.24,5.84744,10.43256,0,0,0,0,0,10.6,135.99,0
33,4,1,4,2,312.18,207.69,14,1.59,0,4.1949,22.5851,6.29,29,2.49,54.93,3,16.00207,4.39793,0,0,0,0,0,49.21,104.49,0
37,9,1,3,1,222.1593,119.23001,0,4.49,35.71855,35.09364,29.18782,0,0,0,0,0,2.5,0,3.69,0,0,0,0,8.55,102.92929,0
37,9,1,3,1,404.66,358.61,6.58,11.87,15.23,0,62.09,13.62,8.6,0,14.98,33.94,19.33,16.95,15.51,8.07,8.98,16.5,3.99,102.37,46.05,0
38,3,2,2,2,243.78913,190.53913,2.49246,13.8554,6.12052,12.56116,6.67866,0,6.73789,4.36736,12.98157,30.29119,15.87478,1.70024,8.60793,3.65782,0,12.24508,11.90265,40.46442,53.25,24.34587
38,3,2,2,2,259.74,160.24,8.4,12.67238,8.46,14.30515,4.68427,0,0,2.23,7.83418,9.715,7.24546,5.14332,12.66691,4.7855,8.66564,25.17834,5.03,23.22385,99.5,23.93
72,1,1,1,1,75,47.5,0,1.98,0,0,8.99,0,0,0,0,4,0,7.45,0,0,6.35,12.37,2.1,4.26,27.5,0
72,1,1,1,1,114.43,47.94,0,1.59,0,0,0,0,30.88,0,2.05,0,0,4.25,0,0.69,0,3.19,0,5.29,66.49,0
32,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,2,4,1,65.74,59.74,7.31,0,0,0,0,0,0,1.89,2.59,0,18.35,19.5,0,0,4.07,0,0,6.03,6,0
87,1,1,1,2,51.71,51.71,0,3.86,0,0,5.31,4.64,0,0.9,3.37,1.12,9.71,3.58,0,0,0.88,0,1,17.34,0,0
87,1,1,1,2,25.57,25.57,2.88,5.6,0,0,0,0,0,0,2.61,5.96,2.9,0.98,1,0,0,0,0,3.64,0,0
43,5,1,4,1,46.69,46.69,5.98,1.98,0,0,5.05,0,0,0,0,9.64,5.7,5.9,0,0,0,0,5.66,6.78,0,0
45,2,1,4,2,777.55003,547.30003,23.79358,12.8044,111.64338,39.01099,0,4.59738,30.63795,9.94,23.95887,14.07835,45.28033,49.17602,25.78494,4.07051,3.06509,55.79521,19.02868,74.63435,230.25,0
45,2,1,4,2,744.07,505.84,59.94,65.47,30.46192,11.15808,0,11.23,36.72,2.99,19.13,18.13,65.18,37.55,7.25,12.2,20.35,33.69,46.08,28.31,238.23,53.53
77,2,1,1,2,273.01437,233.27,11.23,34.06,17.81,0,2.96,12.55,22.48,2.89,7.48,10.94,1.15,9.36525,7.99,3.44,9.54,33.12,0,46.26475,39.74437,0
77,2,1,1,2,21.89,17.84,0,10.77,0,0,0,0,0,0,0,0,4.97,2.1,0,0,0,0,0,0,4.05,7
52,2,1,2,2,80.00002,30.00002,2.5184,5.89373,0,0,0,0,0,2.76709,2.06305,0,3.64578,4.78139,0,0,0,8.33058,0,0,50,0
25,3,1,4,2,105.01,105.01,3.5,2.18,0,22.64,0,0,0,6.48,7.41,4.27,26.56,19.92,6.22,0,1.85,3.98,0,0,0,0
25,3,1,4,2,66.86,66.86,13.27155,1.98,0,6.24,0,0,0,0,7.14,0,6.67,5.2,2.98845,0,18.44,2.98,0,1.95,0,0
52,1,1,2,1,133.82,133.82,3.38,0,0,13.32,0,0,29.12,2.1,2.65,26.12,5.1,0,0,0,18.63,16.54,0,16.86,0,0
52,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2,1,4,2,157.18248,113.32,6.23,6.99,0,8.48,1.19,0,7.95,2.99,5.28,14.88,18.21,15.38,3.29,2.98,0,2.16,4.95,12.36,43.86248,44.27752
45,1,1,4,1,79.75,29.64,0,0,0,0,0,0,0,0,0,0,2.59,0,7.96,0,0,0,0,19.09,50.11,0
45,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,4,1,1,2,457.36,235.69,1,41.43,13.78,0,0,7.99,12.98,6.98,2,10.59,35.25,15.75,6.22108,10.38892,3.34,10.63,0,57.36,221.67,0
44,4,1,1,2,484,201.44,24,10.68,12.27,4.29,0,21.93,0,0,0,14.87,26.45,15.08,0,4.75,32.72,5.48,0,28.92,282.56,0
32,2,1,3,1,183.91,110.1,4.15,16.77,20.33,13.11,0,0,0,1.29,3.63,2.65,0,5.19,0,3.17,6.52,12.04,3.66,17.59,73.81,0
32,2,1,3,1,108.98,69.74,1.07,11.67,0,2.87,7.23,7.73,2.68,0,0,0,0,3.75,0,3.21,6.95,0,7.6,14.98,39.24,0
36,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1,1,2,2,298.4,117.94,13.91,5.04,4.04,17.54,0,0,2.01,3.64,3.15,7.46,23.36,10.45,0,2.19,6.84,2.55,7.05,8.71,180.46,0
